Flight_ID,Aircraft_Type,Origin,Destination,Departure_DateTime,Flight_Status,Delay_Minutes,Distance_KM,Max_Capacity,Passenger_Count,Avg_Ticket_Price_USD,Total_Revenue_USD,Fuel_Consumed_Liters,CO2_Emissions_KG,Customer_Rating
AV1001,Airbus A320,DXB,BOM,01-01-2026 00:05,On Time,0,1200,160,147,323.99,47626.53,4080,12892.8,1.6
AV1002,Bombardier CRJ900,BOM,SIN,01-01-2026 00:18,Diverted,0,2400,90,71,938.72,66649.12,5280,16684.8,3.9
AV1003,Boeing 787,LHR,JFK,01-01-2026 00:45,On Time,0,3450,290,193,721.47,139243.71,17940,56690.4,1.8
AV1004,Airbus A320,DXB,BOM,01-01-2026 00:50,Delayed,21,1200,160,122,810.87,98926.14,4080,12892.8,2
AV1005,Boeing 737,DXB,SYD,01-01-2026 00:51,On Time,0,7500,180,164,221.71,36360.44,27000,85320,4
AV1006,Boeing 737,DXB,SIN,01-01-2026 01:04,On Time,0,3600,180,137,390.34,53476.58,12960,40953.6,2.5
AV1007,Boeing 737,DXB,CDG,01-01-2026 03:25,On Time,0,3200,180,158,196.19,30998.02,11520,36403.2,2.2
AV1008,Airbus A350,DXB,CDG,01-01-2026 04:04,Delayed,119,3200,320,256,447.24,114493.44,18560,58649.6,4.3
AV1009,Airbus A320,LHR,JFK,01-01-2026 06:55,On Time,0,3450,160,111,935.03,103788.33,11730,37066.8,4.8
AV1010,Boeing 787,DXB,CDG,01-01-2026 10:15,On Time,0,3200,290,266,234.22,62302.52,16640,52582.4,2.3
AV1011,Boeing 737,DXB,BOM,01-01-2026 13:12,Delayed,54,1200,180,114,599.9,68388.6,4320,13651.2,2.6
AV1012,Bombardier CRJ900,DXB,CDG,01-01-2026 15:03,Delayed,173,3200,90,72,154.86,11149.92,7040,22246.4,4
AV1013,Airbus A350,LHR,JFK,01-01-2026 16:13,On Time,0,3450,320,218,720.15,156992.7,20010,63231.6,4.4
AV1014,Boeing 737,DXB,CDG,01-01-2026 16:22,On Time,0,3200,180,112,307.75,34468,11520,36403.2,5
AV1015,Boeing 737,DXB,CDG,01-01-2026 16:27,On Time,0,3200,180,144,253.67,36528.48,11520,36403.2,2.5
AV1016,Boeing 737,CDG,JFK,01-01-2026 16:37,On Time,0,3630,180,143,419.61,60004.23,13068,41294.88,3.4
AV1017,Boeing 737,DXB,BOM,01-01-2026 16:50,On Time,0,1200,180,158,766.84,121160.72,4320,13651.2,2
AV1018,Airbus A320,DXB,SYD,01-01-2026 18:02,On Time,0,7500,160,143,235.29,33646.47,25500,80580,2.7
AV1019,Airbus A320,DXB,LHR,01-01-2026 18:32,On Time,0,3400,160,142,333.87,47409.54,11560,36529.6,1.7
AV1020,Boeing 737,DXB,CDG,01-01-2026 18:50,On Time,0,3200,180,137,156.77,21477.49,11520,36403.2,2.2
AV1021,Airbus A320,BOM,SIN,01-01-2026 20:23,On Time,0,2400,160,136,924.73,125763.28,8160,25785.6,3.3
AV1022,Boeing 737,DXB,CDG,01-01-2026 21:39,On Time,0,3200,180,149,623.72,92934.28,11520,36403.2,2.1
AV1023,Boeing 737,CDG,JFK,01-01-2026 21:41,On Time,0,3630,180,138,725.92,100176.96,13068,41294.88,4.6
AV1024,Airbus A320,DXB,SYD,01-01-2026 21:50,On Time,0,7500,160,134,671.11,89928.74,25500,80580,4
AV1025,Airbus A320,BOM,SIN,01-01-2026 21:56,On Time,0,2400,160,156,265.49,41416.44,8160,25785.6,1.6
AV1026,Boeing 787,BOM,SIN,01-01-2026 22:00,On Time,0,2400,290,196,625.95,122686.2,12480,39436.8,4.6
AV1027,Boeing 737,DXB,BOM,01-01-2026 22:00,On Time,0,1200,180,173,255.13,44137.49,4320,13651.2,4.9
AV1028,Airbus A320,LHR,JFK,01-01-2026 22:59,On Time,0,3450,160,99,470.99,46628.01,11730,37066.8,3.3
AV1029,Airbus A320,LHR,JFK,02-01-2026 01:32,On Time,0,3450,160,115,605.17,69594.55,11730,37066.8,2.6
AV1030,Boeing 737,DXB,SYD,02-01-2026 02:47,On Time,0,7500,180,128,597.1,76428.8,27000,85320,2.4
AV1031,Airbus A320,LHR,JFK,02-01-2026 02:47,On Time,0,3450,160,136,245.26,33355.36,11730,37066.8,1.8
AV1032,Boeing 737,DXB,JFK,02-01-2026 03:38,On Time,0,6800,180,117,177.55,20773.35,24480,77356.8,3.2
AV1033,Boeing 737,CDG,JFK,02-01-2026 04:14,Delayed,111,3630,180,171,788.59,134848.89,13068,41294.88,1.7
AV1034,Bombardier CRJ900,DXB,LHR,02-01-2026 05:26,On Time,0,3400,90,83,730.74,60651.42,7480,23636.8,3.3
AV1035,Bombardier CRJ900,DXB,LHR,02-01-2026 05:43,On Time,0,3400,90,77,215.46,16590.42,7480,23636.8,2.4
AV1036,Boeing 787,DXB,BOM,02-01-2026 06:45,On Time,0,1200,290,227,251.93,57188.11,6240,19718.4,3.2
AV1037,Boeing 737,DXB,BOM,02-01-2026 08:43,Delayed,66,1200,180,175,864.07,151212.25,4320,13651.2,3
AV1038,Boeing 737,DXB,LHR,02-01-2026 09:44,On Time,0,3400,180,167,765.3,127805.1,12240,38678.4,2.6
AV1039,Airbus A320,LHR,JFK,02-01-2026 10:16,On Time,0,3450,160,127,946.93,120260.11,11730,37066.8,3.1
AV1040,Airbus A320,DXB,SIN,02-01-2026 11:18,On Time,0,3600,160,140,353.19,49446.6,12240,38678.4,3.2
AV1041,Boeing 737,DXB,JFK,02-01-2026 11:55,On Time,0,6800,180,148,540.24,79955.52,24480,77356.8,4.4
AV1042,Airbus A320,DXB,CDG,02-01-2026 12:15,On Time,0,3200,160,133,339.17,45109.61,10880,34380.8,3.8
AV1043,Boeing 737,DXB,SYD,02-01-2026 15:55,On Time,0,7500,180,131,648.24,84919.44,27000,85320,3
AV1044,Bombardier CRJ900,CDG,JFK,02-01-2026 16:38,Delayed,45,3630,90,70,242.33,16963.1,7986,25235.76,4.7
AV1045,Boeing 737,DXB,SIN,02-01-2026 17:13,Cancelled,0,3600,180,0,251.79,0,0,0,
AV1046,Airbus A320,DXB,JFK,02-01-2026 19:09,On Time,0,6800,160,100,207.51,20751,23120,73059.2,4.1
AV1047,Boeing 737,DXB,CDG,02-01-2026 19:16,Diverted,0,3200,180,133,704.87,93747.71,11520,36403.2,1.8
AV1048,Airbus A320,DXB,BOM,02-01-2026 19:51,On Time,0,1200,160,140,545.26,76336.4,4080,12892.8,2
AV1049,Airbus A320,DXB,JFK,02-01-2026 20:33,On Time,0,6800,160,157,644.18,101136.26,23120,73059.2,1.8
AV1050,Boeing 737,DXB,LHR,02-01-2026 23:01,On Time,0,3400,180,177,853.44,151058.88,12240,38678.4,2.6
AV1051,Bombardier CRJ900,DXB,JFK,03-01-2026 00:48,On Time,0,6800,90,74,742.26,54927.24,14960,47273.6,3
AV1052,Boeing 787,DXB,SYD,03-01-2026 01:13,On Time,0,7500,290,244,519.38,126728.72,39000,123240,3.3
AV1053,Bombardier CRJ900,BOM,SIN,03-01-2026 01:48,On Time,0,2400,90,60,937.48,56248.8,5280,16684.8,4.5
AV1054,Airbus A350,DXB,BOM,03-01-2026 02:51,Delayed,176,1200,320,280,515,144200,6960,21993.6,1.6
AV1055,Airbus A320,CDG,JFK,03-01-2026 02:52,On Time,0,3630,160,100,239.96,23996,12342,39000.72,3
AV1056,Bombardier CRJ900,CDG,JFK,03-01-2026 03:38,On Time,0,3630,90,64,944.12,60423.68,7986,25235.76,2.9
AV1057,Boeing 737,DXB,JFK,03-01-2026 04:25,On Time,0,6800,180,156,168.26,26248.56,24480,77356.8,4.8
AV1058,Boeing 737,BOM,SIN,03-01-2026 05:12,On Time,0,2400,180,130,589.91,76688.3,8640,27302.4,2.3
AV1059,Boeing 737,DXB,CDG,03-01-2026 05:32,On Time,0,3200,180,111,397.28,44098.08,11520,36403.2,1.9
AV1060,Boeing 737,DXB,SIN,03-01-2026 05:59,On Time,0,3600,180,167,552.84,92324.28,12960,40953.6,2
AV1061,Airbus A320,DXB,CDG,03-01-2026 06:33,On Time,0,3200,160,115,596.97,68651.55,10880,34380.8,3.3
AV1062,Boeing 737,DXB,SIN,03-01-2026 08:16,On Time,0,3600,180,112,342.08,38312.96,12960,40953.6,2.9
AV1063,Airbus A350,BOM,SIN,03-01-2026 08:55,On Time,0,2400,320,201,595.49,119693.49,13920,43987.2,4.1
AV1064,Airbus A320,DXB,SIN,03-01-2026 09:16,On Time,0,3600,160,112,754.85,84543.2,12240,38678.4,2.6
AV1065,Boeing 737,DXB,SYD,03-01-2026 10:07,Delayed,21,7500,180,120,363.21,43585.2,27000,85320,1.9
AV1066,Airbus A320,DXB,JFK,03-01-2026 10:32,On Time,0,6800,160,145,456.74,66227.3,23120,73059.2,2.9
AV1067,Boeing 737,DXB,CDG,03-01-2026 10:35,On Time,0,3200,180,131,364.59,47761.29,11520,36403.2,4.6
AV1068,Boeing 787,DXB,SYD,03-01-2026 10:51,On Time,0,7500,290,267,806.45,215322.15,39000,123240,2.9
AV1069,Boeing 737,DXB,CDG,03-01-2026 11:03,On Time,0,3200,180,120,729.99,87598.8,11520,36403.2,4.4
AV1070,Bombardier CRJ900,DXB,JFK,03-01-2026 11:59,On Time,0,6800,90,71,846.96,60134.16,14960,47273.6,2.8
AV1071,Boeing 787,LHR,JFK,03-01-2026 12:25,On Time,0,3450,290,253,286.04,72368.12,17940,56690.4,2.5
AV1072,Boeing 737,DXB,SIN,03-01-2026 12:42,On Time,0,3600,180,154,208.86,32164.44,12960,40953.6,4.2
AV1073,Boeing 737,BOM,SIN,03-01-2026 12:57,On Time,0,2400,180,151,245.51,37072.01,8640,27302.4,2.2
AV1074,Boeing 787,LHR,JFK,03-01-2026 12:59,On Time,0,3450,290,281,278.81,78345.61,17940,56690.4,2.3
AV1075,Boeing 787,LHR,JFK,03-01-2026 14:23,On Time,0,3450,290,200,576.47,115294,17940,56690.4,1.7
AV1076,Boeing 787,CDG,JFK,03-01-2026 14:40,On Time,0,3630,290,231,926.73,214074.63,18876,59648.16,2.2
AV1077,Boeing 787,DXB,LHR,03-01-2026 15:21,Diverted,0,3400,290,276,435.79,120278.04,17680,55868.8,2.8
AV1078,Boeing 737,DXB,SYD,03-01-2026 15:50,Delayed,158,7500,180,113,916.81,103599.53,27000,85320,2.9
AV1079,Airbus A320,DXB,SYD,03-01-2026 16:41,On Time,0,7500,160,99,180.56,17875.44,25500,80580,3
AV1080,Boeing 737,DXB,SYD,03-01-2026 16:49,On Time,0,7500,180,124,891.5,110546,27000,85320,3.2
AV1081,Airbus A350,DXB,SYD,03-01-2026 17:34,Delayed,164,7500,320,273,294.92,80513.16,43500,137460,3.5
AV1082,Airbus A320,LHR,JFK,03-01-2026 18:10,On Time,0,3450,160,112,879.98,98557.76,11730,37066.8,2.2
AV1083,Boeing 737,DXB,SYD,03-01-2026 20:10,Delayed,105,7500,180,121,194.98,23592.58,27000,85320,3.6
AV1084,Boeing 737,DXB,LHR,03-01-2026 21:18,On Time,0,3400,180,141,908.58,128109.78,12240,38678.4,2.7
AV1085,Boeing 737,DXB,BOM,03-01-2026 23:58,Delayed,31,1200,180,152,310.64,47217.28,4320,13651.2,4.1
AV1086,Boeing 737,DXB,JFK,04-01-2026 00:01,Delayed,139,6800,180,125,392.17,49021.25,24480,77356.8,3.5
AV1087,Boeing 787,DXB,SYD,04-01-2026 00:09,On Time,0,7500,290,208,542.75,112892,39000,123240,3.4
AV1088,Airbus A320,BOM,SIN,04-01-2026 00:13,On Time,0,2400,160,135,454.58,61368.3,8160,25785.6,3.9
AV1089,Airbus A350,DXB,BOM,04-01-2026 00:49,On Time,0,1200,320,313,684.02,214098.26,6960,21993.6,2.7
AV1090,Airbus A320,BOM,SIN,04-01-2026 00:50,On Time,0,2400,160,139,929.85,129249.15,8160,25785.6,3
AV1091,Boeing 737,BOM,SIN,04-01-2026 01:03,On Time,0,2400,180,164,635.14,104162.96,8640,27302.4,3.5
AV1092,Boeing 787,DXB,CDG,04-01-2026 02:14,On Time,0,3200,290,216,727.19,157073.04,16640,52582.4,3
AV1093,Boeing 787,BOM,SIN,04-01-2026 02:47,On Time,0,2400,290,205,220.4,45182,12480,39436.8,3.1
AV1094,Airbus A320,DXB,SYD,04-01-2026 03:21,On Time,0,7500,160,125,652.25,81531.25,25500,80580,2.5
AV1095,Boeing 787,DXB,CDG,04-01-2026 03:22,Delayed,18,3200,290,267,513.08,136992.36,16640,52582.4,2.5
AV1096,Airbus A320,CDG,JFK,04-01-2026 03:44,On Time,0,3630,160,125,858.63,107328.75,12342,39000.72,3.9
AV1097,Airbus A320,LHR,JFK,04-01-2026 04:35,On Time,0,3450,160,150,460.57,69085.5,11730,37066.8,1.5
AV1098,Airbus A320,BOM,SIN,04-01-2026 05:22,On Time,0,2400,160,159,693.56,110276.04,8160,25785.6,1.8
AV1099,Boeing 737,DXB,LHR,04-01-2026 07:42,On Time,0,3400,180,113,332.52,37574.76,12240,38678.4,4.8
AV1100,Boeing 737,DXB,JFK,04-01-2026 07:47,On Time,0,6800,180,111,357.5,39682.5,24480,77356.8,2.2
AV1101,Boeing 737,BOM,SIN,04-01-2026 07:59,Cancelled,0,2400,180,0,450.9,0,0,0,
AV1102,Airbus A320,CDG,JFK,04-01-2026 08:38,On Time,0,3630,160,105,393.25,41291.25,12342,39000.72,3
AV1103,Boeing 737,DXB,SIN,04-01-2026 08:41,On Time,0,3600,180,135,353.1,47668.5,12960,40953.6,4.5
AV1104,Airbus A320,CDG,JFK,04-01-2026 09:00,On Time,0,3630,160,104,189.73,19731.92,12342,39000.72,1.5
AV1105,Bombardier CRJ900,DXB,SIN,04-01-2026 09:29,On Time,0,3600,90,85,819.4,69649,7920,25027.2,4.7
